UniqueCASEID,WGTCDTR_D,VEHNO,VEHNO,FUELCAP1,FUELCAP2,FUELGT2,FUELLOC1,FUELLOC2,FUELTNK1,FUELTNK2,FUELTYP1,FUELTYP2,ORIGAVTW,PSU,RATWGT,STRATIF,WHEELBAS
104K9,6001-10000 Lbs,1,1,2,0,0,1,0,1,0,1,0,169,9,56.588,K,271
105B45,6000 lbs & Under,1,1,2,0,0,1,0,1,0,1,0,144,45,16.241,B,239
105B79,Passenger Vehicle,1,1,3,0,0,6,0,1,0,1,0,153,79,1.022,B,282
105B79,Passenger Vehicle,3,3,2,0,0,4,0,1,0,1,0,148,79,1.022,B,272
105C49,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,148,49,8.113,C,291
105C49,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,155,49,8.113,C,280
105C49,Passenger Vehicle,3,3,6,0,0,7,0,2,0,1,0,158,49,8.113,C,285
105C9,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,164,9,11.286,C,291
105C9,6000 lbs & Under,2,2,4,0,0,5,0,2,0,1,0,139,9,11.286,C,275
105D41,6000 lbs & Under,1,1,2,0,0,5,0,1,0,1,0,149,41,254.266,D,283
105D41,Passenger Vehicle,2,2,3,0,0,4,0,2,0,1,0,145,41,254.266,D,264
105D50,6000 lbs & Under,1,1,4,0,0,5,0,2,0,1,0,160,50,256.556,D,298
105D74,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,148,74,15.487,D,255
105D74,6000 lbs & Under,2,2,2,0,0,5,0,2,0,1,0,169,74,15.487,D,270
105D74,Passenger Vehicle,3,3,1,0,0,1,0,1,0,1,0,156,74,15.487,D,294
105D76,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,147,76,128.619,D,266
105D76,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,153,76,128.619,D,267
1.05E+45,Passenger Vehicle,1,1,3,0,0,1,0,1,0,1,0,154,43,155.916,E,257
1.05E+75,Passenger Vehicle,2,2,3,0,0,4,0,1,0,1,0,157,73,116.601,E,276
105F13,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,150,13,553.753,F,272
