Accident Type,MAIS,PassengerCar_Count,PassengerCar_%,LightTruck_Count,LightTruck_%,HeavyTruck_Count,HeavyTruck_%,AverageOf_PassengerCar_and_HeavyTruck
93,2,0,0,0,0,0,0,0
93,3,0,0,0,0,0,0,0
93,4,0,0,0,0,0,0,0
93,5,0,0,0,0,0,0,0
93,6,0,0,0,0,0,0,0
93,7,0,0,0,0,0,0,0
7,0,118,32.15258856,31,22.96296296,21,29.16666667,30.65962761
7,1,117,31.88010899,60,44.44444444,26,36.11111111,33.99561005
7,2,45,12.26158038,17,12.59259259,8,11.11111111,11.68634575
7,3,38,10.35422343,17,12.59259259,6,8.333333333,9.343778383
7,4,21,5.722070845,4,2.962962963,4,5.555555556,5.6388132
7,5,10,2.72479564,2,1.481481481,1,1.388888889,2.056842265
7,6,6,1.634877384,0,0,0,0,0.817438692
7,7,12,3.269754768,4,2.962962963,6,8.333333333,5.801544051
30,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0
30,2,0,0,0,0,0,0,0
30,3,0,0,0,0,0,0,0
30,4,0,0,0,0,0,0,0
30,5,0,0,0,0,0,0,0
30,6,0,0,0,0,0,0,0
30,7,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0
60,2,0,0,0,0,0,0,0
60,3,0,0,0,0,0,0,0
60,4,0,0,0,0,0,0,0
60,5,0,0,0,0,0,0,0
60,6,0,0,0,0,0,0,0
60,7,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0
84,1,0,0,0,0,0,0,0
84,2,0,0,0,0,0,0,0
84,3,0,0,0,0,0,0,0
84,4,0,0,0,0,0,0,0
84,5,0,0,0,0,0,0,0
84,6,0,0,0,0,0,0,0
84,7,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
37,1,0,0,0,0,0,0,0
37,2,0,0,0,0,0,0,0
37,3,0,0,0,0,0,0,0
37,4,0,0,0,0,0,0,0
37,5,0,0,0,0,0,0,0
37,6,0,0,0,0,0,0,0
37,7,0,0,0,0,0,0,0
66,0,95,30.25477707,18,17.82178218,0,0,15.12738854
66,1,103,32.80254777,48,47.52475248,2,25,28.90127389
66,2,18,5.732484076,10,9.900990099,0,0,2.866242038
66,3,38,12.10191083,2,1.98019802,4,50,31.05095541
66,4,6,1.910828025,3,2.97029703,0,0,0.955414013
